id;name;area_km2;population;population_density;district
70327;BOR;855.85;40845;47.72;Bor District
70360;VALJEVO;904.75;82169;90.82;Kolubara District
70556;ZAJEČAR;1068.77;47991;44.9;Zaječar District
70645;KRAGUJEVAC;834.16;171186;205.22;Šumadija District
70653;KRALJEVO;1528.89;110196;72.08;Raška District
70670;KRUŠEVAC;853.35;113582;133.1;Rasina District
70726;LESKOVAC;1024.37;123950;121;Jablanica District
70734;LOZNICA;611.77;72062;117.79;Mačva District
70874;NOVI PAZAR;741.87;106720;143.85;Raška District
70939;PIROT;1231.7;49601;40.27;Pirot District
70998;PROKUPLJE;758.33;38054;50.18;Toplica District
71048;JAGODINA;469.23;64644;137.76;Pomoravlje District
71099;SMEDEREVO;483.89;97930;202.38;Podunavlje District
71242;ČAČAK;635.87;105612;166.09;Moravica District
71269;ŠABAC;796.93;105432;132.3;Mačva District
79014;BEOGRAD;3231.93;1681405;520.25;City of Belgrade
79022;NIŠ;596.06;249501;418.59;Nišava District
79049;POŽAREVAC;479.67;68648;143.12;Braničevo District
79057;VRANJE;857.87;74381;86.7;Pčinja District
79065;UŽICE;666.69;69997;104.99;Zlatibor District
80128;VRŠAC;798.48;45462;56.94;South Banat District
80152;ZRENJANIN;1325.1;105722;79.78;Central Banat District
80209;KIKINDA;781.59;49326;63.11;North Banat District
80314;PANČEVO;755.21;115454;152.88;South Banat District
80381;SOMBOR;1216.1;70818;58.23;West Bačka District
80403;SREMSKA MITROVICA;760.88;72580;95.39;Srem District
80438;SUBOTICA;1006.9;123952;123.1;North Bačka District
89010;NOVI SAD;698.82;368967;527.99;South Bačka District
90263;PRIŠTINA;563.88;227466;403.39;Kosovo District
